BALANCE,BALANCE_FREQUENCY,PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,Cluster
5837.105453,1.0,3488.49,3303.1523,1.0,1.0,0
1734.510004,1.0,0.0,66.275851,0.0,0.0,2
2765.748281,1.0,7283.31,0.0,1.0,1.0,0
1046.37041,1.0,295.0,93.579809,0.083333,0.083333,2
2737.367678,1.0,0.0,429.691164,0.0,0.0,2
4014.818167,1.0,0.0,988.356213,0.0,0.0,2
871.568977,1.0,648.22,0.0,1.0,0.083333,1
1610.040203,1.0,557.19,0.0,0.25,0.083333,2
114.593817,1.0,469.98,0.0,1.0,0.0,1
5800.587339,1.0,0.0,369.950794,0.0,0.0,2
823.103926,0.363636,131.64,0.0,1.0,0.0,1
595.677343,1.0,5078.14,1424.442602,0.916667,0.666667,0
1128.124563,1.0,924.6,0.0,1.0,0.0,1
349.441102,1.0,1975.4,0.0,0.666667,0.416667,0
840.804076,0.666667,0.0,3671.777443,0.0,0.0,2
975.942008,1.0,10221.35,1620.685551,1.0,1.0,0
23.111088,0.363636,300.0,0.0,0.25,0.0,1
2187.732265,0.857143,0.0,3905.326256,0.0,0.0,2
11972.01104,1.0,5715.0,1626.351366,1.0,1.0,0
1608.451822,1.0,0.0,205.737165,0.0,0.0,2
1872.926275,1.0,766.61,1017.120578,0.833333,0.833333,0
2933.240476,1.0,0.0,2040.433925,0.0,0.0,2
336.799916,1.0,3535.8,0.0,1.0,0.416667,0
36.236312,0.454545,256.11,0.0,0.416667,0.0,1
903.29781,1.0,2697.48,0.0,1.0,0.333333,0
0.0,0.0,23.0,0.0,0.083333,0.0,1
2881.253586,1.0,117.0,17661.49486,0.25,0.0,2
5.465999,0.090909,196.81,0.0,0.083333,0.083333,1
117.442684,1.0,653.73,0.0,0.666667,0.416667,1
168.522709,0.818182,2009.05,0.0,0.833333,0.0,1
1706.014379,1.0,147.78,1657.090283,0.166667,0.0,2
874.583247,1.0,516.54,0.0,1.0,0.333333,1
861.001207,1.0,969.56,446.233197,0.416667,0.416667,1
966.251742,1.0,311.45,955.959749,0.333333,0.333333,1
38.615644,0.727273,280.4,0.0,0.25,0.25,1
189.687964,1.0,66.14,0.0,0.083333,0.083333,1
40.417255,0.363636,79.2,1631.576375,0.083333,0.083333,1
5462.897068,1.0,1453.32,0.0,0.5,0.0,2
3983.923705,1.0,756.54,0.0,0.5,0.5,0
5588.846272,1.0,3507.35,0.0,0.916667,0.166667,0
281.170378,0.818182,3163.69,0.0,0.75,0.083333,1
130.251538,0.909091,1343.19,0.0,1.0,1.0,0
1973.814964,1.0,873.0,0.0,0.166667,0.166667,2
5698.539876,1.0,47.55,2039.52804,0.166667,0.0,2
43.103899,0.454545,370.0,0.0,0.166667,0.166667,1
566.546048,0.909091,405.75,1044.651618,0.5,0.166667,1
24.527253,0.909091,261.64,0.0,0.833333,0.0,1
8350.145568,1.0,1989.28,893.757903,0.333333,0.166667,2
4559.779234,1.0,10848.5,0.0,1.0,0.666667,0
2.67713,0.090909,43.39,0.0,0.083333,0.0,1
1570.682346,1.0,645.32,1665.331678,0.166667,0.166667,2
7201.736985,1.0,987.1,5468.620604,0.333333,0.333333,2
6467.885013,1.0,1464.14,3947.86784,0.833333,0.583333,0
64.080909,0.454545,927.0,0.0,0.25,0.083333,1
5635.860679,1.0,393.62,5933.467329,0.916667,0.916667,0
3670.50596,1.0,965.5,0.0,0.5,0.5,0
2458.376257,0.818182,0.0,102.275984,0.0,0.0,2
768.004936,1.0,336.41,0.0,0.75,0.75,0
75.647479,0.727273,540.0,0.0,0.25,0.0,1
2.433254,0.181818,36.0,0.0,0.166667,0.0,1
1121.730896,1.0,878.52,197.648111,1.0,0.166667,1
7.56809,0.545455,144.26,0.0,0.333333,0.083333,1
2053.441598,1.0,493.85,1738.33378,0.5,0.333333,2
2422.311938,1.0,4490.69,188.783221,1.0,0.916667,0
9047.621884,1.0,11188.62,0.0,1.0,0.75,0
3061.213971,1.0,1829.2,0.0,1.0,1.0,0
41.642389,0.857143,75.99,0.0,0.142857,0.142857,1
5431.622968,1.0,1824.16,0.0,1.0,0.916667,0
6571.484039,1.0,9325.22,0.0,0.333333,0.333333,0
28.461629,1.0,100.0,0.0,0.083333,0.083333,1
4178.625215,1.0,1431.89,0.0,1.0,0.416667,0
3019.019487,1.0,2260.41,0.0,0.833333,0.416667,0
1.045584,0.333333,0.0,466.643895,0.0,0.0,1
2723.369217,0.909091,10410.49,0.0,0.75,0.666667,0
1070.999446,1.0,990.7,0.0,0.75,0.25,1
279.608696,1.0,3034.92,0.0,1.0,0.0,1
1255.901821,1.0,1038.81,1092.634704,0.916667,0.916667,0
2229.857287,1.0,45.65,0.0,0.083333,0.083333,2
2363.489077,1.0,2641.98,263.884743,0.833333,0.666667,0
4014.388265,1.0,1189.52,0.0,1.0,1.0,0
7623.224897,1.0,300.0,2800.728343,0.5,0.0,2
3421.571922,1.0,126.69,154.341344,0.333333,0.083333,2
48.898611,0.545455,247.09,182.357669,0.5,0.0,1
1874.716289,1.0,301.1,0.0,0.583333,0.166667,1
3215.511032,0.818182,1112.2,7616.064965,0.25,0.25,2
237.235398,0.636364,2410.07,0.0,0.5,0.083333,1
1272.927288,1.0,5350.19,0.0,1.0,1.0,0
558.476701,1.0,630.03,0.0,0.090909,0.090909,1
2814.207626,1.0,3197.24,0.0,1.0,0.666667,0
8.061012,0.363636,133.0,0.0,0.25,0.0,1
435.862142,1.0,1646.16,0.0,1.0,0.583333,0
6.390383,1.0,79.66,0.0,1.0,0.0,1
9612.21512,1.0,319.92,13439.5704,1.0,0.0,2
7938.559134,1.0,3677.52,0.0,1.0,1.0,0
2344.478291,1.0,1041.63,4003.968939,0.25,0.25,2
996.48222,1.0,675.96,0.0,1.0,0.0,1
19.508047,1.0,193.14,0.0,0.416667,0.0,1
185.640313,1.0,1703.23,0.0,1.0,1.0,0
5335.302925,1.0,0.0,468.958688,0.0,0.0,2
22.189283,0.363636,234.16,0.0,0.363636,0.0,1
5.871769,0.818182,29.68,0.0,0.083333,0.083333,1
1049.496471,1.0,1322.67,774.260436,0.833333,0.75,0
5570.190127,1.0,1607.88,0.0,1.0,0.0,2
1668.591831,1.0,0.0,1716.941235,0.0,0.0,2
2224.590946,0.818182,3183.0,0.0,0.166667,0.166667,1
2903.781184,1.0,3014.23,103.610197,1.0,0.833333,0
2041.480046,1.0,7323.38,191.331735,1.0,0.833333,0
7755.698607,1.0,8533.54,7540.30735,1.0,0.5,0
614.263149,0.727273,408.93,0.0,0.5,0.083333,1
8097.334733,1.0,3999.92,0.0,1.0,0.083333,0
1082.33027,1.0,2980.46,0.0,1.0,0.5,0
2734.66412,1.0,560.73,0.0,0.916667,0.916667,0
80.708806,1.0,569.9,0.0,0.166667,0.166667,1
2554.525229,1.0,6186.77,1898.690655,0.916667,0.75,0
535.947221,1.0,4550.81,438.469118,1.0,0.916667,0
3905.365959,1.0,150.8,1659.19931,0.166667,0.166667,2
156.278339,1.0,1385.1,0.0,1.0,0.5,0
5131.319584,1.0,32539.78,0.0,1.0,1.0,0
5265.763713,1.0,410.24,15452.97758,0.916667,0.083333,2
2.564117,0.181818,47.95,0.0,0.083333,0.083333,1
1873.084577,1.0,126.57,181.139378,0.25,0.25,2
32.124999,0.272727,380.89,0.0,0.083333,0.083333,1
1473.495809,1.0,414.0,0.0,0.75,0.0,1
1504.82705,1.0,2010.0,1189.292764,1.0,0.166667,1
7645.108427,1.0,4693.15,0.0,0.5,0.416667,0
1129.33758,1.0,498.96,72.259355,1.0,0.0,1
668.956687,1.0,224.2,0.0,0.583333,0.083333,1
2302.184366,1.0,2856.57,0.0,1.0,0.25,0
272.711518,0.818182,0.0,682.156051,0.0,0.0,1
4246.430225,1.0,0.0,9270.408108,0.0,0.0,2
2420.761135,1.0,0.0,567.233798,0.0,0.0,2
2935.324966,1.0,409.63,1876.241162,0.583333,0.583333,0
83.148283,0.636364,843.34,0.0,0.5,0.5,1
5469.851311,1.0,0.0,512.792701,0.0,0.0,2
280.142117,1.0,2236.49,0.0,1.0,1.0,0
5790.930626,1.0,464.51,2516.727082,0.416667,0.25,2
3605.714046,1.0,1779.0,0.0,0.166667,0.166667,2
3992.261885,1.0,0.0,348.834361,0.0,0.0,2
41.833264,1.0,456.36,0.0,1.0,0.0,1
635.090434,0.818182,5758.71,0.0,0.75,0.25,0
1521.1681,1.0,245.98,2792.67597,0.166667,0.166667,2
5547.092593,1.0,0.0,3298.958165,0.0,0.0,2
2503.107213,1.0,733.9,0.0,1.0,1.0,0
191.450711,1.0,1641.07,380.972341,0.666667,0.666667,0
3621.70204,1.0,674.73,1684.957411,0.25,0.25,2
2762.479434,1.0,2702.47,0.0,1.0,0.25,0
4338.606862,1.0,0.0,1817.569093,0.0,0.0,2
388.873921,0.727273,1579.15,0.0,0.583333,0.5,1
9261.310686,1.0,0.0,8603.045938,0.0,0.0,2
208.131845,1.0,2161.38,0.0,1.0,0.166667,1
169.088238,1.0,1482.19,0.0,1.0,0.583333,0
133.911556,1.0,1446.05,0.0,1.0,0.083333,1
1613.34907,0.909091,0.0,1606.322681,0.0,0.0,2
566.908563,1.0,397.06,0.0,0.666667,0.166667,1
53.208422,1.0,498.17,0.0,0.916667,0.916667,0
1329.967543,1.0,2009.12,1763.794583,1.0,1.0,0
515.904786,1.0,5359.02,0.0,1.0,1.0,0
927.041961,1.0,0.0,402.974164,0.0,0.0,2
1872.767651,1.0,0.0,3394.509419,0.0,0.0,2
185.396312,1.0,0.0,842.456926,0.0,0.0,2
4823.822993,0.857143,0.0,6481.300951,0.0,0.0,2
994.105777,1.0,126.2,0.0,0.833333,0.833333,0
40.089221,1.0,225.0,0.0,1.0,0.0,1
0.478714,0.090909,734.97,0.0,0.833333,0.083333,1
4732.37354,1.0,14.95,2173.356068,0.083333,0.0,2
9206.811696,1.0,874.98,4653.693195,0.75,0.083333,2
6719.376505,1.0,0.0,2443.262416,0.0,0.0,2
2233.074041,1.0,445.2,0.0,0.166667,0.166667,2
1867.649838,1.0,0.0,3264.573342,0.0,0.0,2
57.842746,1.0,689.34,0.0,1.0,0.0,1
4194.033835,0.727273,2006.87,0.0,0.666667,0.083333,1
2459.862339,1.0,678.0,927.25167,1.0,1.0,0
850.630114,1.0,0.05,1700.634586,0.083333,0.083333,2
353.198215,1.0,3085.69,0.0,1.0,1.0,0
2669.160638,1.0,0.0,142.141325,0.0,0.0,2
92.440743,0.909091,1080.0,0.0,0.75,0.75,0
706.675991,1.0,2721.16,0.0,1.0,0.5,0
361.319366,1.0,3095.96,0.0,1.0,0.916667,0
2324.086254,0.909091,0.0,1600.758078,0.0,0.0,2
2922.487907,1.0,71.07,3595.158425,0.25,0.0,2
98.364739,0.181818,65.0,0.0,0.166667,0.0,1
498.208616,1.0,4786.61,0.0,0.916667,0.833333,0
16.93339,0.454545,174.42,0.0,0.333333,0.0,1
3355.631092,1.0,242.88,0.0,1.0,0.0,1
907.982017,1.0,216.94,1011.997944,0.166667,0.166667,2
1132.386178,0.454545,2246.3,14048.07181,0.333333,0.333333,2
1254.6691,1.0,361.73,198.686744,0.166667,0.166667,2
80.336636,0.6,330.0,0.0,0.1,0.1,1
260.838885,1.0,2854.11,0.0,1.0,0.833333,0
17.356961,0.454545,390.0,0.0,0.5,0.083333,1
1897.672025,1.0,422.18,0.0,1.0,1.0,0
1032.241153,1.0,1005.52,0.0,1.0,0.5,0
3536.601227,1.0,2132.93,5340.016172,1.0,0.333333,0
21.580264,0.909091,284.72,0.0,0.666667,0.0,1
4211.539631,1.0,0.0,455.581546,0.0,0.0,2
1732.715258,1.0,3244.16,0.0,1.0,0.666667,0
8939.461145,1.0,2490.17,5309.949725,0.5,0.166667,2
36.567901,0.090909,1098.31,0.0,0.083333,0.083333,1
41.754778,0.181818,636.15,0.0,0.166667,0.166667,1
1937.246177,1.0,3018.93,0.0,1.0,1.0,0
99.955082,1.0,1222.97,0.0,1.0,0.25,1
5135.604593,1.0,110.18,6551.99521,0.333333,0.0,2
214.896542,0.636364,0.0,1192.015721,0.0,0.0,1
1543.287931,1.0,0.0,36.481832,0.0,0.0,2
601.92037,1.0,983.77,0.0,0.666667,0.416667,1
1261.05733,1.0,0.0,474.429843,0.0,0.0,2
85.285023,0.75,423.24,0.0,0.625,0.375,1
1903.688611,1.0,6079.5,10227.22894,0.916667,0.25,0
813.068705,1.0,439.38,727.658311,0.083333,0.083333,2
1279.325142,1.0,1207.25,0.0,1.0,0.0,1
237.669312,1.0,259.13,0.0,0.083333,0.083333,1
5747.761139,1.0,1627.69,0.0,1.0,0.0,2
7760.940543,1.0,0.0,3423.085934,0.0,0.0,2
6388.108487,1.0,0.0,3768.696678,0.0,0.0,2
426.372628,1.0,5749.96,0.0,1.0,1.0,0
8806.866629,1.0,1490.94,2813.063846,1.0,0.166667,2
282.934373,0.181818,0.0,2333.150712,0.0,0.0,1
1128.229387,1.0,5068.88,0.0,1.0,1.0,0
2045.541408,1.0,1067.28,0.0,1.0,0.0,1
8.520292,0.545455,64.12,0.0,0.166667,0.166667,1
11278.95243,1.0,6855.59,0.0,0.916667,0.75,0
143.443832,0.636364,1631.0,0.0,0.583333,0.0,1
241.223955,0.909091,180.91,0.0,0.166667,0.166667,1
1528.571561,1.0,0.0,172.931118,0.0,0.0,2
12474.72954,1.0,136.88,515.147607,0.166667,0.0,2
566.147105,1.0,0.0,187.572355,0.0,0.0,2
1077.606225,0.727273,343.21,1609.900552,0.25,0.25,1
1.838084,0.272727,16.5,0.0,0.083333,0.083333,1
507.144348,1.0,5708.18,0.0,1.0,0.75,0
816.82453,0.3,42.3,3967.709973,0.1,0.1,1
1526.506915,1.0,46.67,0.0,0.083333,0.083333,2
7957.017218,1.0,0.0,4909.937494,0.0,0.0,2
79.189929,1.0,699.12,0.0,1.0,0.0,1
497.908027,1.0,245.39,0.0,0.583333,0.0,1
681.95925,1.0,98.0,0.0,0.166667,0.166667,1
1535.248256,1.0,857.36,0.0,1.0,1.0,0
1508.513765,0.818182,2747.12,246.046033,0.25,0.083333,1
11209.37076,1.0,11147.33,2728.576925,1.0,0.25,0
201.3504,1.0,600.0,0.0,0.5,0.0,1
2502.264409,1.0,0.0,2368.872642,0.0,0.0,2
4543.789386,1.0,255.12,0.0,0.666667,0.25,2
918.342234,1.0,1221.53,1078.788118,0.333333,0.166667,1
5066.744231,1.0,0.0,1974.503664,0.0,0.0,2
2259.431829,1.0,780.64,1227.555485,1.0,0.166667,1
437.789873,1.0,1532.1,0.0,0.75,0.166667,1
2025.162877,1.0,778.33,0.0,0.916667,0.0,1
3770.560441,0.875,964.06,5140.287889,0.875,0.125,2
140.730723,1.0,1667.13,0.0,1.0,0.916667,0
5523.999416,1.0,0.0,4087.167822,0.0,0.0,2
3298.692478,1.0,1088.83,0.0,0.416667,0.083333,2
150.699542,0.363636,648.64,0.0,0.333333,0.083333,1
1874.843394,1.0,0.0,120.178123,0.0,0.0,2
3024.629054,1.0,0.0,2171.139178,0.0,0.0,2
154.641707,0.363636,1897.92,0.0,0.25,0.166667,1
1322.057239,1.0,0.0,76.260896,0.0,0.0,2
62.287137,1.0,1263.29,0.0,1.0,1.0,0
16.581535,0.125,200.0,0.0,0.125,0.0,1
4664.023286,1.0,340.0,3510.115735,0.083333,0.083333,2
318.03434,1.0,1277.58,0.0,1.0,0.0,1
681.615445,1.0,4117.24,0.0,1.0,0.166667,0
9335.31417,1.0,226.23,0.0,0.166667,0.166667,2
6404.955912,1.0,3970.8,0.0,1.0,0.583333,0
133.405494,0.545455,1346.9,0.0,0.583333,0.083333,1
1403.597712,1.0,1050.83,4083.515108,1.0,0.083333,1
469.878834,1.0,1364.99,284.754535,0.5,0.083333,1
1452.437463,1.0,0.0,114.918715,0.0,0.0,2
3737.175713,1.0,0.0,3017.170336,0.0,0.0,2
6032.740391,1.0,7553.48,0.0,0.916667,0.75,0
1692.755487,0.909091,570.16,2817.05225,0.833333,0.0,1
3534.253718,1.0,566.28,3888.756412,0.5,0.333333,2
654.574445,1.0,0.0,2819.60583,0.0,0.0,2
1648.721384,1.0,0.0,39.646806,0.0,0.0,2
6822.877573,1.0,137.34,4815.112874,0.083333,0.083333,2
8647.057641,1.0,0.0,5105.254316,0.0,0.0,2
5055.582822,1.0,0.0,3435.737817,0.0,0.0,2
4245.550244,1.0,332.82,6649.712062,1.0,0.0,2
541.915572,0.636364,1377.72,0.0,0.25,0.25,1
4855.340797,1.0,0.0,1886.470361,0.0,0.0,2
981.643409,0.818182,0.0,1462.32354,0.0,0.0,2
7057.658848,1.0,360.7,6517.541812,0.083333,0.083333,2
4264.307261,1.0,222.64,249.298208,0.916667,0.0,1
4503.390811,1.0,1634.74,94.837161,1.0,0.333333,0
969.294446,1.0,0.0,340.249539,0.0,0.0,2
4479.115547,1.0,759.15,2493.111705,1.0,1.0,0
37.753941,0.363636,243.36,0.0,0.083333,0.083333,1
7386.704481,0.9,0.0,10713.8746,0.0,0.0,2
1265.805627,0.818182,0.0,2820.528417,0.0,0.0,2
598.78776,1.0,519.0,0.0,0.818182,0.0,1
3143.928913,1.0,3055.87,0.0,0.75,0.75,0
5580.530306,1.0,2470.4,1652.878895,0.5,0.083333,2
576.635957,1.0,1671.6,0.0,1.0,0.333333,0
51.818382,0.454545,903.36,0.0,0.25,0.25,1
1036.595935,1.0,0.0,193.738137,0.0,0.0,2
21.12921,0.545455,229.5,0.0,0.5,0.083333,1
1534.969344,1.0,1476.19,0.0,1.0,1.0,0
4994.04832,1.0,2506.89,0.0,0.75,0.75,0
4700.106602,1.0,2570.0,124.563782,0.75,0.166667,0
9601.071318,1.0,238.34,4809.11955,0.833333,0.0,2
1207.888199,0.875,1342.36,1738.109478,0.875,0.875,0
87.442862,0.818182,786.32,0.0,0.636364,0.090909,1
123.394089,0.909091,1450.68,0.0,1.0,0.0,1
395.052994,1.0,1239.46,0.0,0.666667,0.416667,1
1715.459275,1.0,96.75,19.141227,0.333333,0.083333,1
1492.039988,1.0,4106.15,734.816479,0.333333,0.25,1
636.669685,1.0,2022.38,0.0,0.916667,0.916667,0
223.772475,1.0,3654.08,0.0,1.0,0.166667,1
1122.603377,1.0,883.73,0.0,0.833333,0.333333,1
805.131074,1.0,795.54,418.482499,1.0,0.166667,1
869.001444,1.0,0.0,278.591282,0.0,0.0,2
